# label=honeycomb-i9-12900F-php8.4-cache-resident-n300k
# n=300000
# rounds=7
# loadavg_before=1.09
# loadavg_after-round-0=1.06
# loadavg_after-round-1=1.05
# loadavg_after-round-2=1.03
# loadavg_after-round-3=1.02
# loadavg_after-round-4=1.01
# loadavg_after-round-5=1.01
# loadavg_after-round-6=1.01
arm,seed,corpus,n,trial,kernel,ns_per_op,hits
pre,0,ser.set,300000,0,serial,545.479,300000
pre,0,ser.set,300000,1,serial,542.693,300000
pre,0,ser.set,300000,2,serial,546.997,300000
pre,0,ser.set,300000,3,serial,545.422,300000
pre,0,ser.set,300000,4,serial,550.425,300000
pre,0,ser.set,300000,5,serial,587.419,300000
pre,0,ser.set,300000,6,serial,545.268,300000
pre,0,ser.get,300000,0,serial,275.248,300000
pre,0,ser.get,300000,1,serial,275.591,300000
pre,0,ser.get,300000,2,serial,277.184,300000
pre,0,ser.get,300000,3,serial,275.505,300000
pre,0,ser.get,300000,4,serial,275.399,300000
pre,0,ser.get,300000,5,serial,274.996,300000
pre,0,ser.get,300000,6,serial,274.581,300000
pre,0,ser.getr,300000,0,serial,587.883,300000
pre,0,ser.getr,300000,1,serial,590.164,300000
pre,0,ser.getr,300000,2,serial,589.486,300000
pre,0,ser.getr,300000,3,serial,589.481,300000
pre,0,ser.getr,300000,4,serial,590.376,300000
pre,0,ser.getr,300000,5,serial,592.029,300000
pre,0,ser.getr,300000,6,serial,590.409,300000
pre,0,ser.hasr,300000,0,serial,282.594,300000
pre,0,ser.hasr,300000,1,serial,279.901,300000
pre,0,ser.hasr,300000,2,serial,278.676,300000
pre,0,ser.hasr,300000,3,serial,280.229,300000
pre,0,ser.hasr,300000,4,serial,279.592,300000
pre,0,ser.hasr,300000,5,serial,279.494,300000
pre,0,ser.hasr,300000,6,serial,279.540,300000
pre,0,ser.keys,300000,0,serial,10.751,300000
pre,0,ser.keys,300000,1,serial,10.655,300000
pre,0,ser.keys,300000,2,serial,10.751,300000
pre,0,ser.keys,300000,3,serial,10.577,300000
pre,0,ser.keys,300000,4,serial,10.628,300000
pre,0,ser.keys,300000,5,serial,10.948,300000
pre,0,ser.keys,300000,6,serial,10.510,300000
pre,0,ser.delpfx,300000,0,serial,12.488,300000
pre,0,ser.delpfx,300000,1,serial,12.180,300000
pre,0,ser.delpfx,300000,2,serial,12.666,300000
pre,0,ser.delpfx,300000,3,serial,12.137,300000
pre,0,ser.delpfx,300000,4,serial,12.153,300000
pre,0,ser.delpfx,300000,5,serial,13.622,300000
pre,0,ser.delpfx,300000,6,serial,12.174,300000
pre,0,ser.del,300000,0,serial,133.099,300000
pre,0,ser.del,300000,1,serial,134.151,300000
pre,0,ser.del,300000,2,serial,136.080,300000
pre,0,ser.del,300000,3,serial,133.735,300000
pre,0,ser.del,300000,4,serial,133.313,300000
pre,0,ser.del,300000,5,serial,138.025,300000
pre,0,ser.del,300000,6,serial,133.384,300000
pre,0,raw.set,300000,0,serial,351.568,300000
pre,0,raw.set,300000,1,serial,352.660,300000
pre,0,raw.set,300000,2,serial,352.005,300000
pre,0,raw.set,300000,3,serial,353.105,300000
pre,0,raw.set,300000,4,serial,354.257,300000
pre,0,raw.set,300000,5,serial,383.183,300000
pre,0,raw.set,300000,6,serial,354.787,300000
pre,0,raw.get,300000,0,serial,425.909,300000
pre,0,raw.get,300000,1,serial,426.683,300000
pre,0,raw.get,300000,2,serial,430.745,300000
pre,0,raw.get,300000,3,serial,429.303,300000
pre,0,raw.get,300000,4,serial,430.330,300000
pre,0,raw.get,300000,5,serial,442.227,300000
pre,0,raw.get,300000,6,serial,429.745,300000
pre,0,raw.getr,300000,0,serial,655.746,300000
pre,0,raw.getr,300000,1,serial,655.217,300000
pre,0,raw.getr,300000,2,serial,655.158,300000
pre,0,raw.getr,300000,3,serial,655.726,300000
pre,0,raw.getr,300000,4,serial,659.483,300000
pre,0,raw.getr,300000,5,serial,662.842,300000
pre,0,raw.getr,300000,6,serial,657.140,300000
pre,0,raw.hasr,300000,0,serial,280.826,300000
pre,0,raw.hasr,300000,1,serial,279.617,300000
pre,0,raw.hasr,300000,2,serial,280.657,300000
pre,0,raw.hasr,300000,3,serial,281.329,300000
pre,0,raw.hasr,300000,4,serial,280.830,300000
pre,0,raw.hasr,300000,5,serial,280.368,300000
pre,0,raw.hasr,300000,6,serial,280.155,300000
pre,0,raw.keys,300000,0,serial,10.592,300000
pre,0,raw.keys,300000,1,serial,10.585,300000
pre,0,raw.keys,300000,2,serial,10.639,300000
pre,0,raw.keys,300000,3,serial,10.543,300000
pre,0,raw.keys,300000,4,serial,10.661,300000
pre,0,raw.keys,300000,5,serial,10.979,300000
pre,0,raw.keys,300000,6,serial,10.485,300000
pre,0,raw.delpfx,300000,0,serial,13.292,300000
pre,0,raw.delpfx,300000,1,serial,13.160,300000
pre,0,raw.delpfx,300000,2,serial,13.313,300000
pre,0,raw.delpfx,300000,3,serial,13.212,300000
pre,0,raw.delpfx,300000,4,serial,13.210,300000
pre,0,raw.delpfx,300000,5,serial,14.554,300000
pre,0,raw.delpfx,300000,6,serial,13.160,300000
pre,0,raw.del,300000,0,serial,146.288,300000
pre,0,raw.del,300000,1,serial,147.466,300000
pre,0,raw.del,300000,2,serial,147.189,300000
pre,0,raw.del,300000,3,serial,147.495,300000
pre,0,raw.del,300000,4,serial,146.956,300000
pre,0,raw.del,300000,5,serial,150.779,300000
pre,0,raw.del,300000,6,serial,147.097,300000
pre,0,rawint.set,300000,0,serial,137.384,300000
pre,0,rawint.set,300000,1,serial,137.644,300000
pre,0,rawint.set,300000,2,serial,138.144,300000
pre,0,rawint.set,300000,3,serial,137.668,300000
pre,0,rawint.set,300000,4,serial,137.053,300000
pre,0,rawint.set,300000,5,serial,145.653,300000
pre,0,rawint.set,300000,6,serial,137.221,300000
pre,0,rawint.get,300000,0,serial,168.152,300000
pre,0,rawint.get,300000,1,serial,168.284,300000
pre,0,rawint.get,300000,2,serial,170.551,300000
pre,0,rawint.get,300000,3,serial,168.615,300000
pre,0,rawint.get,300000,4,serial,167.790,300000
pre,0,rawint.get,300000,5,serial,168.058,300000
pre,0,rawint.get,300000,6,serial,168.174,300000
pre,0,rawint.getr,300000,0,serial,396.144,300000
pre,0,rawint.getr,300000,1,serial,394.959,300000
pre,0,rawint.getr,300000,2,serial,394.063,300000
pre,0,rawint.getr,300000,3,serial,395.975,300000
pre,0,rawint.getr,300000,4,serial,395.622,300000
pre,0,rawint.getr,300000,5,serial,394.334,300000
pre,0,rawint.getr,300000,6,serial,393.729,300000
pre,0,rawint.hasr,300000,0,serial,280.315,300000
pre,0,rawint.hasr,300000,1,serial,280.920,300000
pre,0,rawint.hasr,300000,2,serial,279.674,300000
pre,0,rawint.hasr,300000,3,serial,279.606,300000
pre,0,rawint.hasr,300000,4,serial,278.870,300000
pre,0,rawint.hasr,300000,5,serial,280.668,300000
pre,0,rawint.hasr,300000,6,serial,279.853,300000
pre,0,rawint.keys,300000,0,serial,10.489,300000
pre,0,rawint.keys,300000,1,serial,10.760,300000
pre,0,rawint.keys,300000,2,serial,10.561,300000
pre,0,rawint.keys,300000,3,serial,10.553,300000
pre,0,rawint.keys,300000,4,serial,10.524,300000
pre,0,rawint.keys,300000,5,serial,10.888,300000
pre,0,rawint.keys,300000,6,serial,10.503,300000
pre,0,rawint.delpfx,300000,0,serial,12.059,300000
pre,0,rawint.delpfx,300000,1,serial,11.954,300000
pre,0,rawint.delpfx,300000,2,serial,12.024,300000
pre,0,rawint.delpfx,300000,3,serial,11.976,300000
pre,0,rawint.delpfx,300000,4,serial,11.966,300000
pre,0,rawint.delpfx,300000,5,serial,13.345,300000
pre,0,rawint.delpfx,300000,6,serial,12.036,300000
pre,0,rawint.del,300000,0,serial,131.053,300000
pre,0,rawint.del,300000,1,serial,131.445,300000
pre,0,rawint.del,300000,2,serial,131.266,300000
pre,0,rawint.del,300000,3,serial,131.927,300000
pre,0,rawint.del,300000,4,serial,131.811,300000
pre,0,rawint.del,300000,5,serial,135.935,300000
pre,0,rawint.del,300000,6,serial,131.481,300000
pre,0,jser.set,300000,0,serial,71.889,300000
pre,0,jser.set,300000,1,serial,71.880,300000
pre,0,jser.set,300000,2,serial,71.912,300000
pre,0,jser.set,300000,3,serial,71.607,300000
pre,0,jser.set,300000,4,serial,71.851,300000
pre,0,jser.set,300000,5,serial,82.482,300000
pre,0,jser.set,300000,6,serial,71.731,300000
pre,0,jser.get,300000,0,serial,107.386,300000
pre,0,jser.get,300000,1,serial,107.112,300000
pre,0,jser.get,300000,2,serial,107.327,300000
pre,0,jser.get,300000,3,serial,107.754,300000
pre,0,jser.get,300000,4,serial,107.291,300000
pre,0,jser.get,300000,5,serial,108.703,300000
pre,0,jser.get,300000,6,serial,108.257,300000
pre,0,jser.getr,300000,0,serial,329.090,300000
pre,0,jser.getr,300000,1,serial,328.312,300000
pre,0,jser.getr,300000,2,serial,327.021,300000
pre,0,jser.getr,300000,3,serial,328.728,300000
pre,0,jser.getr,300000,4,serial,328.248,300000
pre,0,jser.getr,300000,5,serial,329.054,300000
pre,0,jser.getr,300000,6,serial,328.669,300000
pre,0,jser.hasr,300000,0,serial,227.099,300000
pre,0,jser.hasr,300000,1,serial,226.748,300000
pre,0,jser.hasr,300000,2,serial,225.739,300000
pre,0,jser.hasr,300000,3,serial,225.929,300000
pre,0,jser.hasr,300000,4,serial,226.594,300000
pre,0,jser.hasr,300000,5,serial,226.494,300000
pre,0,jser.hasr,300000,6,serial,226.165,300000
pre,0,jser.keys,300000,0,serial,8.283,300000
pre,0,jser.keys,300000,1,serial,8.205,300000
pre,0,jser.keys,300000,2,serial,8.204,300000
pre,0,jser.keys,300000,3,serial,8.129,300000
pre,0,jser.keys,300000,4,serial,8.293,300000
pre,0,jser.keys,300000,5,serial,8.499,300000
pre,0,jser.keys,300000,6,serial,8.271,300000
pre,0,jser.delpfx,300000,0,serial,11.748,300000
pre,0,jser.delpfx,300000,1,serial,11.721,300000
pre,0,jser.delpfx,300000,2,serial,11.645,300000
pre,0,jser.delpfx,300000,3,serial,11.733,300000
pre,0,jser.delpfx,300000,4,serial,11.715,300000
pre,0,jser.delpfx,300000,5,serial,12.940,300000
pre,0,jser.delpfx,300000,6,serial,11.649,300000
pre,0,jser.del,300000,0,serial,92.518,300000
pre,0,jser.del,300000,1,serial,92.165,300000
pre,0,jser.del,300000,2,serial,93.061,300000
pre,0,jser.del,300000,3,serial,92.328,300000
pre,0,jser.del,300000,4,serial,92.552,300000
pre,0,jser.del,300000,5,serial,97.788,300000
pre,0,jser.del,300000,6,serial,92.122,300000
pre,0,jarr.set,300000,0,serial,71.991,300000
pre,0,jarr.set,300000,1,serial,72.594,300000
pre,0,jarr.set,300000,2,serial,72.385,300000
pre,0,jarr.set,300000,3,serial,72.302,300000
pre,0,jarr.set,300000,4,serial,72.757,300000
pre,0,jarr.set,300000,5,serial,81.548,300000
pre,0,jarr.set,300000,6,serial,72.478,300000
pre,0,jarr.get,300000,0,serial,301.991,300000
pre,0,jarr.get,300000,1,serial,302.817,300000
pre,0,jarr.get,300000,2,serial,303.975,300000
pre,0,jarr.get,300000,3,serial,305.381,300000
pre,0,jarr.get,300000,4,serial,305.219,300000
pre,0,jarr.get,300000,5,serial,314.530,300000
pre,0,jarr.get,300000,6,serial,304.545,300000
pre,0,jarr.getr,300000,0,serial,565.100,300000
pre,0,jarr.getr,300000,1,serial,566.150,300000
pre,0,jarr.getr,300000,2,serial,566.264,300000
pre,0,jarr.getr,300000,3,serial,568.117,300000
pre,0,jarr.getr,300000,4,serial,567.412,300000
pre,0,jarr.getr,300000,5,serial,577.574,300000
pre,0,jarr.getr,300000,6,serial,568.731,300000
pre,0,jarr.hasr,300000,0,serial,226.521,300000
pre,0,jarr.hasr,300000,1,serial,228.753,300000
pre,0,jarr.hasr,300000,2,serial,226.193,300000
pre,0,jarr.hasr,300000,3,serial,226.484,300000
pre,0,jarr.hasr,300000,4,serial,226.156,300000
pre,0,jarr.hasr,300000,5,serial,227.429,300000
pre,0,jarr.hasr,300000,6,serial,226.026,300000
pre,0,jarr.keys,300000,0,serial,8.228,300000
pre,0,jarr.keys,300000,1,serial,8.257,300000
pre,0,jarr.keys,300000,2,serial,8.222,300000
pre,0,jarr.keys,300000,3,serial,8.197,300000
pre,0,jarr.keys,300000,4,serial,8.262,300000
pre,0,jarr.keys,300000,5,serial,8.481,300000
pre,0,jarr.keys,300000,6,serial,8.187,300000
pre,0,jarr.delpfx,300000,0,serial,12.724,300000
pre,0,jarr.delpfx,300000,1,serial,12.827,300000
pre,0,jarr.delpfx,300000,2,serial,12.945,300000
pre,0,jarr.delpfx,300000,3,serial,12.968,300000
pre,0,jarr.delpfx,300000,4,serial,12.817,300000
pre,0,jarr.delpfx,300000,5,serial,13.916,300000
pre,0,jarr.delpfx,300000,6,serial,12.785,300000
pre,0,jarr.del,300000,0,serial,105.010,300000
pre,0,jarr.del,300000,1,serial,105.137,300000
