# label=honeycomb-i9-12900F-php8.4-out-of-cache-n3M
# n=3000000
# rounds=7
# loadavg_before=1.01
# loadavg_after-round-0=1
# loadavg_after-round-1=1
# loadavg_after-round-2=1
# loadavg_after-round-3=1
# loadavg_after-round-4=1
# loadavg_after-round-5=1
# loadavg_after-round-6=1.06
arm,seed,corpus,n,trial,kernel,ns_per_op,hits
pre,0,ser.set,3000000,0,serial,1151.854,3000000
pre,0,ser.set,3000000,1,serial,1150.218,3000000
pre,0,ser.set,3000000,2,serial,1152.238,3000000
pre,0,ser.set,3000000,3,serial,1149.139,3000000
pre,0,ser.set,3000000,4,serial,1153.410,3000000
pre,0,ser.set,3000000,5,serial,1149.383,3000000
pre,0,ser.set,3000000,6,serial,1150.200,3000000
pre,0,ser.get,3000000,0,serial,276.107,3000000
pre,0,ser.get,3000000,1,serial,275.585,3000000
pre,0,ser.get,3000000,2,serial,277.159,3000000
pre,0,ser.get,3000000,3,serial,275.177,3000000
pre,0,ser.get,3000000,4,serial,278.063,3000000
pre,0,ser.get,3000000,5,serial,276.101,3000000
pre,0,ser.get,3000000,6,serial,277.462,3000000
pre,0,ser.getr,3000000,0,serial,806.343,3000000
pre,0,ser.getr,3000000,1,serial,806.412,3000000
pre,0,ser.getr,3000000,2,serial,807.436,3000000
pre,0,ser.getr,3000000,3,serial,805.019,3000000
pre,0,ser.getr,3000000,4,serial,808.331,3000000
pre,0,ser.getr,3000000,5,serial,808.644,3000000
pre,0,ser.getr,3000000,6,serial,809.248,3000000
pre,0,ser.hasr,3000000,0,serial,456.673,3000000
pre,0,ser.hasr,3000000,1,serial,457.458,3000000
pre,0,ser.hasr,3000000,2,serial,457.258,3000000
pre,0,ser.hasr,3000000,3,serial,456.541,3000000
pre,0,ser.hasr,3000000,4,serial,457.638,3000000
pre,0,ser.hasr,3000000,5,serial,457.587,3000000
pre,0,ser.hasr,3000000,6,serial,457.362,3000000
pre,0,ser.keys,3000000,0,serial,1.139,3000000
pre,0,ser.keys,3000000,1,serial,1.142,3000000
pre,0,ser.keys,3000000,2,serial,1.139,3000000
pre,0,ser.keys,3000000,3,serial,1.141,3000000
pre,0,ser.keys,3000000,4,serial,1.142,3000000
pre,0,ser.keys,3000000,5,serial,1.133,3000000
pre,0,ser.keys,3000000,6,serial,1.136,3000000
pre,0,ser.delpfx,3000000,0,serial,1.256,3000000
pre,0,ser.delpfx,3000000,1,serial,1.254,3000000
pre,0,ser.delpfx,3000000,2,serial,1.255,3000000
pre,0,ser.delpfx,3000000,3,serial,1.255,3000000
pre,0,ser.delpfx,3000000,4,serial,1.260,3000000
pre,0,ser.delpfx,3000000,5,serial,1.263,3000000
pre,0,ser.delpfx,3000000,6,serial,1.259,3000000
pre,0,ser.del,3000000,0,serial,139.840,3000000
pre,0,ser.del,3000000,1,serial,140.193,3000000
pre,0,ser.del,3000000,2,serial,140.648,3000000
pre,0,ser.del,3000000,3,serial,140.363,3000000
pre,0,ser.del,3000000,4,serial,140.468,3000000
pre,0,ser.del,3000000,5,serial,140.698,3000000
pre,0,ser.del,3000000,6,serial,140.337,3000000
pre,0,jser.set,3000000,0,serial,72.923,3000000
pre,0,jser.set,3000000,1,serial,73.108,3000000
pre,0,jser.set,3000000,2,serial,72.843,3000000
pre,0,jser.set,3000000,3,serial,72.886,3000000
pre,0,jser.set,3000000,4,serial,73.013,3000000
pre,0,jser.set,3000000,5,serial,72.645,3000000
pre,0,jser.set,3000000,6,serial,72.814,3000000
pre,0,jser.get,3000000,0,serial,101.110,3000000
pre,0,jser.get,3000000,1,serial,100.190,3000000
pre,0,jser.get,3000000,2,serial,100.255,3000000
pre,0,jser.get,3000000,3,serial,100.364,3000000
pre,0,jser.get,3000000,4,serial,100.257,3000000
pre,0,jser.get,3000000,5,serial,100.486,3000000
pre,0,jser.get,3000000,6,serial,100.762,3000000
pre,0,jser.getr,3000000,0,serial,532.510,3000000
pre,0,jser.getr,3000000,1,serial,532.455,3000000
pre,0,jser.getr,3000000,2,serial,531.899,3000000
pre,0,jser.getr,3000000,3,serial,530.212,3000000
pre,0,jser.getr,3000000,4,serial,531.297,3000000
pre,0,jser.getr,3000000,5,serial,531.452,3000000
pre,0,jser.getr,3000000,6,serial,531.659,3000000
pre,0,jser.hasr,3000000,0,serial,345.084,3000000
pre,0,jser.hasr,3000000,1,serial,344.773,3000000
pre,0,jser.hasr,3000000,2,serial,345.457,3000000
pre,0,jser.hasr,3000000,3,serial,344.748,3000000
pre,0,jser.hasr,3000000,4,serial,345.334,3000000
pre,0,jser.hasr,3000000,5,serial,345.225,3000000
pre,0,jser.hasr,3000000,6,serial,346.662,3000000
pre,0,jser.keys,3000000,0,serial,0.874,3000000
pre,0,jser.keys,3000000,1,serial,0.869,3000000
pre,0,jser.keys,3000000,2,serial,0.869,3000000
pre,0,jser.keys,3000000,3,serial,0.872,3000000
pre,0,jser.keys,3000000,4,serial,0.868,3000000
pre,0,jser.keys,3000000,5,serial,0.880,3000000
pre,0,jser.keys,3000000,6,serial,0.870,3000000
pre,0,jser.delpfx,3000000,0,serial,1.198,3000000
pre,0,jser.delpfx,3000000,1,serial,1.210,3000000
pre,0,jser.delpfx,3000000,2,serial,1.206,3000000
pre,0,jser.delpfx,3000000,3,serial,1.200,3000000
pre,0,jser.delpfx,3000000,4,serial,1.203,3000000
pre,0,jser.delpfx,3000000,5,serial,1.193,3000000
pre,0,jser.delpfx,3000000,6,serial,1.198,3000000
pre,0,jser.del,3000000,0,serial,91.137,3000000
pre,0,jser.del,3000000,1,serial,91.040,3000000
pre,0,jser.del,3000000,2,serial,91.142,3000000
pre,0,jser.del,3000000,3,serial,90.906,3000000
pre,0,jser.del,3000000,4,serial,91.048,3000000
pre,0,jser.del,3000000,5,serial,91.020,3000000
pre,0,jser.del,3000000,6,serial,91.323,3000000
pre,0,rawint.set,3000000,0,serial,141.749,3000000
pre,0,rawint.set,3000000,1,serial,141.377,3000000
pre,0,rawint.set,3000000,2,serial,142.804,3000000
pre,0,rawint.set,3000000,3,serial,141.712,3000000
pre,0,rawint.set,3000000,4,serial,142.117,3000000
pre,0,rawint.set,3000000,5,serial,141.776,3000000
pre,0,rawint.set,3000000,6,serial,142.437,3000000
pre,0,rawint.get,3000000,0,serial,167.309,3000000
pre,0,rawint.get,3000000,1,serial,167.728,3000000
pre,0,rawint.get,3000000,2,serial,167.635,3000000
pre,0,rawint.get,3000000,3,serial,168.423,3000000
pre,0,rawint.get,3000000,4,serial,168.359,3000000
pre,0,rawint.get,3000000,5,serial,167.737,3000000
pre,0,rawint.get,3000000,6,serial,167.870,3000000
pre,0,rawint.getr,3000000,0,serial,634.115,3000000
pre,0,rawint.getr,3000000,1,serial,635.395,3000000
pre,0,rawint.getr,3000000,2,serial,635.506,3000000
pre,0,rawint.getr,3000000,3,serial,633.785,3000000
pre,0,rawint.getr,3000000,4,serial,636.656,3000000
pre,0,rawint.getr,3000000,5,serial,634.412,3000000
pre,0,rawint.getr,3000000,6,serial,633.735,3000000
pre,0,rawint.hasr,3000000,0,serial,458.456,3000000
pre,0,rawint.hasr,3000000,1,serial,458.504,3000000
pre,0,rawint.hasr,3000000,2,serial,459.268,3000000
pre,0,rawint.hasr,3000000,3,serial,457.587,3000000
pre,0,rawint.hasr,3000000,4,serial,457.425,3000000
pre,0,rawint.hasr,3000000,5,serial,457.977,3000000
pre,0,rawint.hasr,3000000,6,serial,458.284,3000000
pre,0,rawint.keys,3000000,0,serial,1.123,3000000
pre,0,rawint.keys,3000000,1,serial,1.129,3000000
pre,0,rawint.keys,3000000,2,serial,1.140,3000000
pre,0,rawint.keys,3000000,3,serial,1.120,3000000
pre,0,rawint.keys,3000000,4,serial,1.127,3000000
pre,0,rawint.keys,3000000,5,serial,1.137,3000000
pre,0,rawint.keys,3000000,6,serial,1.139,3000000
pre,0,rawint.delpfx,3000000,0,serial,1.235,3000000
pre,0,rawint.delpfx,3000000,1,serial,1.224,3000000
pre,0,rawint.delpfx,3000000,2,serial,1.241,3000000
pre,0,rawint.delpfx,3000000,3,serial,1.231,3000000
pre,0,rawint.delpfx,3000000,4,serial,1.232,3000000
pre,0,rawint.delpfx,3000000,5,serial,1.225,3000000
pre,0,rawint.delpfx,3000000,6,serial,1.239,3000000
pre,0,rawint.del,3000000,0,serial,138.584,3000000
pre,0,rawint.del,3000000,1,serial,137.988,3000000
pre,0,rawint.del,3000000,2,serial,138.517,3000000
pre,0,rawint.del,3000000,3,serial,138.360,3000000
pre,0,rawint.del,3000000,4,serial,138.307,3000000
pre,0,rawint.del,3000000,5,serial,138.630,3000000
pre,0,rawint.del,3000000,6,serial,138.179,3000000
pre,0,jint.set,3000000,0,serial,73.229,3000000
pre,0,jint.set,3000000,1,serial,72.853,3000000
pre,0,jint.set,3000000,2,serial,72.906,3000000
pre,0,jint.set,3000000,3,serial,72.783,3000000
pre,0,jint.set,3000000,4,serial,73.402,3000000
pre,0,jint.set,3000000,5,serial,73.324,3000000
pre,0,jint.set,3000000,6,serial,73.144,3000000
pre,0,jint.get,3000000,0,serial,100.873,3000000
pre,0,jint.get,3000000,1,serial,101.136,3000000
pre,0,jint.get,3000000,2,serial,100.922,3000000
pre,0,jint.get,3000000,3,serial,101.546,3000000
pre,0,jint.get,3000000,4,serial,100.946,3000000
pre,0,jint.get,3000000,5,serial,100.706,3000000
pre,0,jint.get,3000000,6,serial,101.644,3000000
pre,0,jint.getr,3000000,0,serial,510.992,3000000
pre,0,jint.getr,3000000,1,serial,511.594,3000000
pre,0,jint.getr,3000000,2,serial,511.639,3000000
pre,0,jint.getr,3000000,3,serial,510.198,3000000
pre,0,jint.getr,3000000,4,serial,510.476,3000000
pre,0,jint.getr,3000000,5,serial,511.576,3000000
pre,0,jint.getr,3000000,6,serial,511.261,3000000
pre,0,jint.hasr,3000000,0,serial,344.967,3000000
pre,0,jint.hasr,3000000,1,serial,345.017,3000000
pre,0,jint.hasr,3000000,2,serial,345.176,3000000
pre,0,jint.hasr,3000000,3,serial,344.968,3000000
pre,0,jint.hasr,3000000,4,serial,344.832,3000000
pre,0,jint.hasr,3000000,5,serial,345.607,3000000
pre,0,jint.hasr,3000000,6,serial,345.139,3000000
pre,0,jint.keys,3000000,0,serial,0.887,3000000
pre,0,jint.keys,3000000,1,serial,0.882,3000000
pre,0,jint.keys,3000000,2,serial,0.893,3000000
pre,0,jint.keys,3000000,3,serial,0.871,3000000
pre,0,jint.keys,3000000,4,serial,0.859,3000000
pre,0,jint.keys,3000000,5,serial,0.910,3000000
pre,0,jint.keys,3000000,6,serial,0.885,3000000
pre,0,jint.delpfx,3000000,0,serial,1.184,3000000
pre,0,jint.delpfx,3000000,1,serial,1.184,3000000
pre,0,jint.delpfx,3000000,2,serial,1.183,3000000
pre,0,jint.delpfx,3000000,3,serial,1.178,3000000
pre,0,jint.delpfx,3000000,4,serial,1.209,3000000
pre,0,jint.delpfx,3000000,5,serial,1.186,3000000
pre,0,jint.delpfx,3000000,6,serial,1.187,3000000
pre,0,jint.del,3000000,0,serial,90.115,3000000
pre,0,jint.del,3000000,1,serial,90.067,3000000
pre,0,jint.del,3000000,2,serial,90.034,3000000
pre,0,jint.del,3000000,3,serial,89.774,3000000
pre,0,jint.del,3000000,4,serial,90.092,3000000
pre,0,jint.del,3000000,5,serial,89.972,3000000
pre,0,jint.del,3000000,6,serial,90.153,3000000
pre,0,ctl.set,3000000,0,serial,101.174,3000000
pre,0,ctl.set,3000000,1,serial,101.692,3000000
pre,0,ctl.set,3000000,2,serial,101.794,3000000
pre,0,ctl.set,3000000,3,serial,100.559,3000000
pre,0,ctl.set,3000000,4,serial,100.891,3000000
pre,0,ctl.set,3000000,5,serial,101.242,3000000
pre,0,ctl.set,3000000,6,serial,101.962,3000000
pre,0,ctl.get,3000000,0,serial,111.291,3000000
pre,0,ctl.get,3000000,1,serial,111.181,3000000
pre,0,ctl.get,3000000,2,serial,111.336,3000000
pre,0,ctl.get,3000000,3,serial,110.891,3000000
pre,0,ctl.get,3000000,4,serial,111.375,3000000
pre,0,ctl.get,3000000,5,serial,111.827,3000000
pre,0,ctl.get,3000000,6,serial,111.325,3000000
pre,0,ctl.getr,3000000,0,serial,519.975,3000000
pre,0,ctl.getr,3000000,1,serial,519.337,3000000
pre,0,ctl.getr,3000000,2,serial,520.732,3000000
pre,0,ctl.getr,3000000,3,serial,518.282,3000000
pre,0,ctl.getr,3000000,4,serial,518.337,3000000
pre,0,ctl.getr,3000000,5,serial,520.363,3000000
pre,0,ctl.getr,3000000,6,serial,521.114,3000000
pre,0,ctl.hasr,3000000,0,serial,119.393,3000000
pre,0,ctl.hasr,3000000,1,serial,119.515,3000000
pre,0,ctl.hasr,3000000,2,serial,119.446,3000000
pre,0,ctl.hasr,3000000,3,serial,119.493,3000000
pre,0,ctl.hasr,3000000,4,serial,118.897,3000000
pre,0,ctl.hasr,3000000,5,serial,119.525,3000000
pre,0,ctl.hasr,3000000,6,serial,119.601,3000000
pre,0,ctl.del,3000000,0,serial,22.564,3000000
pre,0,ctl.del,3000000,1,serial,22.625,3000000
pre,0,ctl.del,3000000,2,serial,22.722,3000000
pre,0,ctl.del,3000000,3,serial,22.660,3000000
pre,0,ctl.del,3000000,4,serial,22.663,3000000
pre,0,ctl.del,3000000,5,serial,22.755,3000000
pre,0,ctl.del,3000000,6,serial,22.672,3000000
system,0,ser.set,3000000,0,serial,1602.726,3000000
system,0,ser.set,3000000,1,serial,1607.219,3000000
system,0,ser.set,3000000,2,serial,1605.939,3000000
system,0,ser.set,3000000,3,serial,1604.128,3000000
system,0,ser.set,3000000,4,serial,1602.755,3000000
system,0,ser.set,3000000,5,serial,1604.323,3000000
system,0,ser.set,3000000,6,serial,1603.457,3000000
system,0,ser.get,3000000,0,serial,302.188,3000000
system,0,ser.get,3000000,1,serial,303.299,3000000
system,0,ser.get,3000000,2,serial,302.774,3000000
system,0,ser.get,3000000,3,serial,302.336,3000000
system,0,ser.get,3000000,4,serial,303.397,3000000
system,0,ser.get,3000000,5,serial,303.360,3000000
system,0,ser.get,3000000,6,serial,302.189,3000000
system,0,ser.getr,3000000,0,serial,800.152,3000000
system,0,ser.getr,3000000,1,serial,800.993,3000000
system,0,ser.getr,3000000,2,serial,799.289,3000000
system,0,ser.getr,3000000,3,serial,797.591,3000000
system,0,ser.getr,3000000,4,serial,797.300,3000000
system,0,ser.getr,3000000,5,serial,798.023,3000000
system,0,ser.getr,3000000,6,serial,798.653,3000000
system,0,ser.hasr,3000000,0,serial,447.999,3000000
system,0,ser.hasr,3000000,1,serial,448.971,3000000
system,0,ser.hasr,3000000,2,serial,448.318,3000000
system,0,ser.hasr,3000000,3,serial,447.801,3000000
system,0,ser.hasr,3000000,4,serial,449.648,3000000
system,0,ser.hasr,3000000,5,serial,448.936,3000000
system,0,ser.hasr,3000000,6,serial,448.076,3000000
system,0,ser.keys,3000000,0,serial,1.365,3000000
system,0,ser.keys,3000000,1,serial,1.365,3000000
