# label=honeycomb-i9-12900F-php8.4-REBUILD-CONTROL-n300k
# n=300000
# rounds=7
# loadavg_before=1.06
# loadavg_after-round-0=1.04
# loadavg_after-round-1=1.03
# loadavg_after-round-2=1.03
# loadavg_after-round-3=1.02
# loadavg_after-round-4=1.02
# loadavg_after-round-5=1.01
# loadavg_after-round-6=1.01
arm,seed,corpus,n,trial,kernel,ns_per_op,hits
pre,0,ser.set,300000,0,serial,547.297,300000
pre,0,ser.set,300000,1,serial,548.630,300000
pre,0,ser.set,300000,2,serial,545.136,300000
pre,0,ser.set,300000,3,serial,547.697,300000
pre,0,ser.set,300000,4,serial,554.137,300000
pre,0,ser.set,300000,5,serial,548.059,300000
pre,0,ser.set,300000,6,serial,545.843,300000
pre,0,ser.get,300000,0,serial,275.109,300000
pre,0,ser.get,300000,1,serial,277.935,300000
pre,0,ser.get,300000,2,serial,276.702,300000
pre,0,ser.get,300000,3,serial,277.962,300000
pre,0,ser.get,300000,4,serial,275.025,300000
pre,0,ser.get,300000,5,serial,274.742,300000
pre,0,ser.get,300000,6,serial,274.827,300000
pre,0,ser.getr,300000,0,serial,592.522,300000
pre,0,ser.getr,300000,1,serial,593.715,300000
pre,0,ser.getr,300000,2,serial,594.226,300000
pre,0,ser.getr,300000,3,serial,595.568,300000
pre,0,ser.getr,300000,4,serial,592.002,300000
pre,0,ser.getr,300000,5,serial,592.805,300000
pre,0,ser.getr,300000,6,serial,588.741,300000
pre,0,ser.hasr,300000,0,serial,280.237,300000
pre,0,ser.hasr,300000,1,serial,280.145,300000
pre,0,ser.hasr,300000,2,serial,282.056,300000
pre,0,ser.hasr,300000,3,serial,281.098,300000
pre,0,ser.hasr,300000,4,serial,282.741,300000
pre,0,ser.hasr,300000,5,serial,278.176,300000
pre,0,ser.hasr,300000,6,serial,279.809,300000
pre,0,ser.keys,300000,0,serial,10.569,300000
pre,0,ser.keys,300000,1,serial,10.520,300000
pre,0,ser.keys,300000,2,serial,10.537,300000
pre,0,ser.keys,300000,3,serial,10.589,300000
pre,0,ser.keys,300000,4,serial,10.692,300000
pre,0,ser.keys,300000,5,serial,10.560,300000
pre,0,ser.keys,300000,6,serial,10.580,300000
pre,0,ser.delpfx,300000,0,serial,12.167,300000
pre,0,ser.delpfx,300000,1,serial,12.139,300000
pre,0,ser.delpfx,300000,2,serial,12.197,300000
pre,0,ser.delpfx,300000,3,serial,12.170,300000
pre,0,ser.delpfx,300000,4,serial,12.250,300000
pre,0,ser.delpfx,300000,5,serial,12.128,300000
pre,0,ser.delpfx,300000,6,serial,12.381,300000
pre,0,ser.del,300000,0,serial,133.876,300000
pre,0,ser.del,300000,1,serial,133.313,300000
pre,0,ser.del,300000,2,serial,133.733,300000
pre,0,ser.del,300000,3,serial,133.390,300000
pre,0,ser.del,300000,4,serial,133.716,300000
pre,0,ser.del,300000,5,serial,134.110,300000
pre,0,ser.del,300000,6,serial,133.994,300000
pre,0,raw.set,300000,0,serial,352.599,300000
pre,0,raw.set,300000,1,serial,353.372,300000
pre,0,raw.set,300000,2,serial,352.797,300000
pre,0,raw.set,300000,3,serial,355.337,300000
pre,0,raw.set,300000,4,serial,351.389,300000
pre,0,raw.set,300000,5,serial,353.139,300000
pre,0,raw.set,300000,6,serial,357.638,300000
pre,0,raw.get,300000,0,serial,428.892,300000
pre,0,raw.get,300000,1,serial,432.207,300000
pre,0,raw.get,300000,2,serial,430.964,300000
pre,0,raw.get,300000,3,serial,434.754,300000
pre,0,raw.get,300000,4,serial,427.605,300000
pre,0,raw.get,300000,5,serial,428.964,300000
pre,0,raw.get,300000,6,serial,429.702,300000
pre,0,raw.getr,300000,0,serial,655.506,300000
pre,0,raw.getr,300000,1,serial,658.121,300000
pre,0,raw.getr,300000,2,serial,659.185,300000
pre,0,raw.getr,300000,3,serial,661.854,300000
pre,0,raw.getr,300000,4,serial,655.402,300000
pre,0,raw.getr,300000,5,serial,657.721,300000
pre,0,raw.getr,300000,6,serial,657.160,300000
pre,0,raw.hasr,300000,0,serial,280.959,300000
pre,0,raw.hasr,300000,1,serial,280.192,300000
pre,0,raw.hasr,300000,2,serial,282.150,300000
pre,0,raw.hasr,300000,3,serial,280.992,300000
pre,0,raw.hasr,300000,4,serial,280.030,300000
pre,0,raw.hasr,300000,5,serial,279.502,300000
pre,0,raw.hasr,300000,6,serial,282.188,300000
pre,0,raw.keys,300000,0,serial,10.549,300000
pre,0,raw.keys,300000,1,serial,10.501,300000
pre,0,raw.keys,300000,2,serial,10.555,300000
pre,0,raw.keys,300000,3,serial,10.629,300000
pre,0,raw.keys,300000,4,serial,10.562,300000
pre,0,raw.keys,300000,5,serial,10.609,300000
pre,0,raw.keys,300000,6,serial,10.552,300000
pre,0,raw.delpfx,300000,0,serial,13.204,300000
pre,0,raw.delpfx,300000,1,serial,13.154,300000
pre,0,raw.delpfx,300000,2,serial,13.188,300000
pre,0,raw.delpfx,300000,3,serial,13.214,300000
pre,0,raw.delpfx,300000,4,serial,13.140,300000
pre,0,raw.delpfx,300000,5,serial,13.226,300000
pre,0,raw.delpfx,300000,6,serial,13.220,300000
pre,0,raw.del,300000,0,serial,147.162,300000
pre,0,raw.del,300000,1,serial,146.423,300000
pre,0,raw.del,300000,2,serial,146.969,300000
pre,0,raw.del,300000,3,serial,146.832,300000
pre,0,raw.del,300000,4,serial,148.057,300000
pre,0,raw.del,300000,5,serial,147.154,300000
pre,0,raw.del,300000,6,serial,147.538,300000
pre,0,rawint.set,300000,0,serial,137.181,300000
pre,0,rawint.set,300000,1,serial,137.106,300000
pre,0,rawint.set,300000,2,serial,137.287,300000
pre,0,rawint.set,300000,3,serial,137.466,300000
pre,0,rawint.set,300000,4,serial,137.785,300000
pre,0,rawint.set,300000,5,serial,137.245,300000
pre,0,rawint.set,300000,6,serial,138.746,300000
pre,0,rawint.get,300000,0,serial,168.559,300000
pre,0,rawint.get,300000,1,serial,170.676,300000
pre,0,rawint.get,300000,2,serial,170.824,300000
pre,0,rawint.get,300000,3,serial,171.398,300000
pre,0,rawint.get,300000,4,serial,167.906,300000
pre,0,rawint.get,300000,5,serial,167.882,300000
pre,0,rawint.get,300000,6,serial,168.229,300000
pre,0,rawint.getr,300000,0,serial,394.160,300000
pre,0,rawint.getr,300000,1,serial,395.547,300000
pre,0,rawint.getr,300000,2,serial,397.219,300000
pre,0,rawint.getr,300000,3,serial,397.762,300000
pre,0,rawint.getr,300000,4,serial,394.345,300000
pre,0,rawint.getr,300000,5,serial,393.812,300000
pre,0,rawint.getr,300000,6,serial,394.006,300000
pre,0,rawint.hasr,300000,0,serial,281.197,300000
pre,0,rawint.hasr,300000,1,serial,280.217,300000
pre,0,rawint.hasr,300000,2,serial,281.771,300000
pre,0,rawint.hasr,300000,3,serial,281.343,300000
pre,0,rawint.hasr,300000,4,serial,279.450,300000
pre,0,rawint.hasr,300000,5,serial,279.429,300000
pre,0,rawint.hasr,300000,6,serial,280.664,300000
pre,0,rawint.keys,300000,0,serial,10.535,300000
pre,0,rawint.keys,300000,1,serial,10.491,300000
pre,0,rawint.keys,300000,2,serial,10.443,300000
pre,0,rawint.keys,300000,3,serial,10.552,300000
pre,0,rawint.keys,300000,4,serial,10.570,300000
pre,0,rawint.keys,300000,5,serial,10.533,300000
pre,0,rawint.keys,300000,6,serial,10.490,300000
pre,0,rawint.delpfx,300000,0,serial,12.094,300000
pre,0,rawint.delpfx,300000,1,serial,11.994,300000
pre,0,rawint.delpfx,300000,2,serial,11.981,300000
pre,0,rawint.delpfx,300000,3,serial,12.026,300000
pre,0,rawint.delpfx,300000,4,serial,11.983,300000
pre,0,rawint.delpfx,300000,5,serial,11.962,300000
