# label=honeycomb-DECOMPOSITION-linkage-vs-distro-flags-n300k
# n=300000
# rounds=7
# loadavg_before=0.55
# loadavg_after-round-0=0.55
# loadavg_after-round-1=0.65
# loadavg_after-round-2=0.7
# loadavg_after-round-3=0.77
# loadavg_after-round-4=0.81
# loadavg_after-round-5=0.85
# loadavg_after-round-6=0.87
arm,seed,corpus,n,trial,kernel,ns_per_op,hits
pre,0,ser.set,300000,0,serial,607.203,300000
pre,0,ser.set,300000,1,serial,605.204,300000
pre,0,ser.set,300000,2,serial,603.191,300000
pre,0,ser.set,300000,3,serial,608.504,300000
pre,0,ser.set,300000,4,serial,604.065,300000
pre,0,ser.set,300000,5,serial,607.447,300000
pre,0,ser.set,300000,6,serial,605.904,300000
pre,0,ser.get,300000,0,serial,288.301,300000
pre,0,ser.get,300000,1,serial,288.893,300000
pre,0,ser.get,300000,2,serial,289.062,300000
pre,0,ser.get,300000,3,serial,289.106,300000
pre,0,ser.get,300000,4,serial,288.702,300000
pre,0,ser.get,300000,5,serial,289.348,300000
pre,0,ser.get,300000,6,serial,288.525,300000
pre,0,ser.getr,300000,0,serial,600.090,300000
pre,0,ser.getr,300000,1,serial,595.016,300000
pre,0,ser.getr,300000,2,serial,596.743,300000
pre,0,ser.getr,300000,3,serial,597.076,300000
pre,0,ser.getr,300000,4,serial,596.880,300000
pre,0,ser.getr,300000,5,serial,593.644,300000
pre,0,ser.getr,300000,6,serial,595.225,300000
pre,0,ser.hasr,300000,0,serial,274.905,300000
pre,0,ser.hasr,300000,1,serial,274.868,300000
pre,0,ser.hasr,300000,2,serial,276.095,300000
pre,0,ser.hasr,300000,3,serial,274.966,300000
pre,0,ser.hasr,300000,4,serial,275.241,300000
pre,0,ser.hasr,300000,5,serial,274.477,300000
pre,0,ser.hasr,300000,6,serial,274.405,300000
pre,0,ser.keys,300000,0,serial,11.517,300000
pre,0,ser.keys,300000,1,serial,11.491,300000
pre,0,ser.keys,300000,2,serial,11.439,300000
pre,0,ser.keys,300000,3,serial,11.599,300000
pre,0,ser.keys,300000,4,serial,12.511,300000
pre,0,ser.keys,300000,5,serial,11.388,300000
pre,0,ser.keys,300000,6,serial,11.354,300000
pre,0,ser.delpfx,300000,0,serial,13.683,300000
pre,0,ser.delpfx,300000,1,serial,13.674,300000
pre,0,ser.delpfx,300000,2,serial,13.692,300000
pre,0,ser.delpfx,300000,3,serial,13.670,300000
pre,0,ser.delpfx,300000,4,serial,16.156,300000
pre,0,ser.delpfx,300000,5,serial,13.605,300000
pre,0,ser.delpfx,300000,6,serial,13.645,300000
pre,0,ser.del,300000,0,serial,139.649,300000
