cell                                   arm/kernel        trials       min       max   spread  verdict
ctl.del n=300000                       pre/serial             7     17.08     17.69     3.5%  stable
ctl.del n=3000000                      pre/serial             7     22.56     22.75     0.8%  stable
ctl.get n=300000                       pre/serial             7    103.61    103.97     0.3%  stable
ctl.get n=3000000                      pre/serial             7    110.89    111.83     0.8%  stable
ctl.getr n=300000                      pre/serial             7    344.03    346.49     0.7%  stable
ctl.getr n=3000000                     pre/serial             7    518.28    521.11     0.5%  stable
ctl.hasr n=300000                      pre/serial             7     58.61     62.38     6.4%  stable
ctl.hasr n=3000000                     pre/serial             7    118.90    119.60     0.6%  stable
ctl.set n=300000                       pre/serial             7     98.57    100.85     2.3%  stable
ctl.set n=3000000                      pre/serial             7    100.56    101.96     1.4%  stable
jarr.del n=300000                      pre/serial             7    104.98    107.68     2.6%  stable
jarr.delpfx n=300000                   pre/serial             7     12.78     13.36     4.5%  stable
jarr.get n=300000                      pre/serial             7    303.05    309.87     2.3%  stable
jarr.getr n=300000                     pre/serial             7    567.35    573.35     1.1%  stable
jarr.hasr n=300000                     pre/serial             7    226.68    227.84     0.5%  stable
jarr.keys n=300000                     pre/serial             7      8.17      8.38     2.6%  stable
jarr.set n=300000                      pre/serial             7     72.32     76.81     6.2%  stable
jint.del n=300000                      pre/serial             7     91.14     94.06     3.2%  stable
jint.del n=3000000                     pre/serial             7     89.77     90.15     0.4%  stable
jint.delpfx n=300000                   pre/serial             7     11.62     12.20     4.9%  stable
jint.delpfx n=3000000                  pre/serial             7      1.18      1.21     2.6%  stable
jint.get n=300000                      pre/serial             7    107.03    107.74     0.7%  stable
jint.get n=3000000                     pre/serial             7    100.71    101.64     0.9%  stable
jint.getr n=300000                     pre/serial             7    307.24    310.27     1.0%  stable
jint.getr n=3000000                    pre/serial             7    510.20    511.64     0.3%  stable
jint.hasr n=300000                     pre/serial             7    226.41    227.03     0.3%  stable
jint.hasr n=3000000                    pre/serial             7    344.83    345.61     0.2%  stable
jint.keys n=300000                     pre/serial             7      8.23      8.44     2.6%  stable
jint.keys n=3000000                    pre/serial             7      0.86      0.91     5.9%  stable
jint.set n=300000                      pre/serial             7     71.15     75.74     6.4%  stable
jint.set n=3000000                     pre/serial             7     72.78     73.40     0.9%  stable
jser.del n=300000                      pre/serial             7     92.17     94.98     3.0%  stable
